City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Miri,MY,2022-11-09 01:58:04,4.4148,114.0089,80.74,83,20,4.61
265,Betanzos,ES,2022-11-09 01:58:04,43.2804,-8.2147,57.09,80,0,5.75
266,Tawau,MY,2022-11-09 01:58:05,4.2498,117.8871,84.33,79,100,1.99
267,Salalah,OM,2022-11-09 01:58:05,17.0151,54.0924,74.34,81,28,1.25
268,Cidreira,BR,2022-11-09 01:58:06,-30.1811,-50.2056,62.24,87,98,10.65
269,Kununurra,AU,2022-11-09 01:58:06,-15.7667,128.7333,98.58,36,83,8.05
270,Fare,PF,2022-11-09 01:58:06,-16.7,-151.0167,78.13,73,91,9.53
271,Westport,US,2022-11-09 01:56:41,41.1415,-73.3579,51.57,35,0,3.0
272,Norman Wells,CA,2022-11-09 01:58:07,65.282,-126.8329,8.64,72,100,5.75
273,Pocatello,US,2022-11-09 01:58:30,42.8713,-112.4455,37.47,85,100,7.0
274,Terrace Bay,CA,2022-11-09 01:59:08,48.7834,-87.1,38.55,71,100,19.66
275,Talaja,IN,2022-11-09 01:58:24,21.35,72.05,75.9,50,4,8.79
276,Henties Bay,NA,2022-11-09 01:59:08,-22.116,14.2845,59.49,92,5,3.74
277,Mamit,IN,2022-11-09 01:59:09,23.9333,92.4833,65.23,83,6,4.61
278,Half Moon Bay,US,2022-11-09 01:55:59,37.4636,-122.4286,52.83,79,20,12.66
279,Broken Hill,AU,2022-11-09 01:54:58,-31.95,141.4333,82.98,28,100,16.64
280,Maniitsoq,GL,2022-11-09 01:59:09,65.4167,-52.9,15.78,51,7,8.48
281,Kansanshi,ZM,2022-11-09 01:57:45,-12.0951,26.4273,61.92,98,100,1.32
282,Quincy,US,2022-11-09 01:59:10,42.2529,-71.0023,45.1,45,0,5.99
283,Bengkulu,ID,2022-11-09 01:59:10,-3.8004,102.2655,78.42,84,100,2.42
284,Rawson,AR,2022-11-09 01:59:11,-43.3002,-65.1023,69.89,48,50,14.92
285,Gornopravdinsk,RU,2022-11-09 01:59:11,60.05,69.9,25.12,96,96,6.55
286,Parabel,RU,2022-11-09 01:59:11,58.6978,81.4825,21.79,93,100,8.95
287,Matagami,CA,2022-11-09 01:59:12,49.7502,-77.6328,19.51,86,0,2.3
288,Ha Tinh,VN,2022-11-09 01:59:12,18.3333,105.9,74.05,75,68,7.52
289,Tandil,AR,2022-11-09 01:59:12,-37.3217,-59.1332,61.68,70,93,14.0
290,Vestmannaeyjar,IS,2022-11-09 01:59:13,63.4427,-20.2734,44.76,74,76,6.46
291,Belaya Gora,RU,2022-11-09 01:59:13,68.5333,146.4167,-4.4,98,100,5.08
292,Sao Joao Da Barra,BR,2022-11-09 01:59:13,-21.6403,-41.0511,70.39,83,100,6.44
293,Arco,IT,2022-11-09 01:59:14,45.9177,10.8867,51.49,86,70,2.21
294,Lubango,AO,2022-11-09 01:59:14,-14.9172,13.4925,58.66,49,2,3.96
