,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Corpus Christi,US,83.07,broken clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
453,Pointe Michel,DM,88.74,broken clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
455,Lalpur,IN,80.28,clear sky,22.2,69.9667,Radhe Duplex Lalpur
456,Pizarro,CO,78.49,light rain,4.9533,-77.366,Hotel Limonar
459,Pinhao,BR,77.59,overcast clouds,-25.6956,-51.6597,Pinhão Park Hotel
463,Kpandu,GH,81.5,light rain,6.9954,0.2931,Emo House
470,Eyl,SO,80.1,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
473,Alta Gracia,AR,85.89,scattered clouds,-31.6529,-64.4283,Hotel Ritz
475,Reconquista,AR,77.23,light rain,-29.15,-59.65,Grand Hotel
479,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
491,Tabou,CI,81.41,scattered clouds,4.423,-7.3528,hotêl doufoulougou
492,Mitsamiouli,KM,77.49,clear sky,-11.3847,43.2844,Foyer ADM
504,Raga,SS,80.83,broken clouds,8.4596,25.678,
505,Tharad,IN,78.98,clear sky,24.3961,71.6267,Suresh Parmar
508,Santo Antonio Do Sudoeste,BR,84.22,overcast clouds,-26.0736,-53.7253,Hotel Frontera
510,Araguari,BR,84.49,clear sky,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
511,San Antonio,US,79.25,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
517,Belle Glade,US,83.01,scattered clouds,26.6845,-80.6676,Mid-City Trailer Park
518,Wanlaweyn,SO,79.41,overcast clouds,2.6185,44.8938,GAASHAAN HOME
522,San Pedro,PH,78.03,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
524,Kidal,ML,82.54,clear sky,18.4411,1.4078,
527,Mindelo,CV,77.2,broken clouds,16.8901,-24.9804,Hotel Gaudi
535,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Pousada Camboinha
536,Malumfashi,NG,80.53,few clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
