City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Praia,CV,14.9215,-23.5087,84.74,51,0,12.66,clear sky
229,Manakara,MG,-22.1333,48.0167,74.43,81,38,9.35,scattered clouds
230,Gwadar,PK,25.1216,62.3254,79.86,73,0,7.38,clear sky
231,Sistranda,NO,63.7256,8.834,46.36,83,100,17.49,light rain
232,Boa Vista,BR,2.8197,-60.6733,87.78,55,40,6.91,light rain
233,Yar-Sale,RU,66.8333,70.8333,6.03,92,98,10.71,overcast clouds
234,Coihaique,CL,-45.5752,-72.0662,57.81,62,100,6.29,light rain
235,Rawson,AR,-43.3002,-65.1023,55.22,85,100,21.68,moderate rain
236,Mange,SL,8.9167,-12.85,86.34,59,30,5.68,scattered clouds
237,West Bay,KY,19.3667,-81.4167,84.99,69,20,10.36,few clouds
238,Chake Chake,TZ,-5.2459,39.7666,76.96,87,64,8.16,broken clouds
239,Iqaluit,CA,63.7506,-68.5145,4.73,72,75,13.8,broken clouds
240,Sept-Iles,CA,50.2001,-66.3821,41.52,75,100,8.05,overcast clouds
241,Atar,MR,20.5169,-13.0499,92.57,10,6,10.18,clear sky
242,Mamlyutka,KZ,54.9375,68.5394,29.82,97,98,9.69,light snow
243,Caconda,AO,-13.7333,15.0667,72.21,52,69,9.26,broken clouds
244,Rincon,US,32.296,-81.2354,67.86,94,100,16.11,heavy intensity rain
245,Nizhnevartovsk,RU,60.9344,76.5531,28.42,100,100,6.71,fog
246,Ibresi,RU,55.2961,47.0394,42.44,85,100,12.17,overcast clouds
247,Amapa,BR,1.0,-52.0,90.48,40,50,6.42,scattered clouds
248,Gilgit,PK,35.9221,74.3087,37.22,64,4,3.83,clear sky
249,Quatre Cocos,MU,-20.2078,57.7625,76.08,75,10,11.07,clear sky
250,Plettenberg Bay,ZA,-34.0527,23.3716,63.18,72,10,19.3,clear sky
251,Prokhorovka,RU,51.0374,36.7325,36.97,87,71,7.63,broken clouds
252,Marawi,PH,7.9986,124.2928,68.63,91,78,1.92,broken clouds
253,Crestview,US,30.7621,-86.5705,74.08,62,20,14.97,few clouds
254,Shakawe,BW,-18.3667,21.85,79.34,47,67,3.0,broken clouds
255,Caete,BR,-19.88,-43.6697,88.05,42,21,3.98,few clouds
256,Santa Maria,BR,-29.6842,-53.8069,79.9,44,0,10.36,clear sky
257,Senekal,ZA,-28.3197,27.6208,69.26,51,52,18.37,broken clouds
258,Tela,HN,15.7833,-87.45,82.35,89,40,4.61,scattered clouds
259,Narsaq,GL,60.9167,-46.05,30.42,95,100,1.66,light snow
260,Chibuto,MZ,-24.6867,33.5306,74.19,81,96,13.67,overcast clouds
